RegioNaam;RegioCode;RegioUitslag;Partij;AantalStemmen;AantalZetels
Nederland;L528;AantalGeldigeStemmen;;8317612;
Nederland;L528;AantalOngeldigeStemmen;;48217;
Nederland;L528;Kiesgerechtigden;;9497999;
Nederland;L528;Opkomst;;8365829;
Nederland;L528;;PvdA;2813793;53
Nederland;L528;;CDA;2652278;49
Nederland;L528;;VVD;1492689;28
Nederland;L528;;D66;452423;8
Nederland;L528;;SGP;177010;3
Nederland;L528;;CPN;143481;2
Nederland;L528;;PPR;140910;3
Nederland;L528;;GPV;79421;1
Nederland;L528;;PSP;77972;1
Nederland;L528;;Boeren Partij;69914;1
Nederland;L528;;DS70;59487;1
Nederland;L528;;RPF;53220;
Nederland;L528;;NVU;33434;
Nederland;L528;;RKPN;33227;
Nederland;L528;;SP;24420;
Nederland;L528;;Federatie Bejaardenpartijen Nederland;4379;
Nederland;L528;;Verbond tegen Ambtelijke Willekeur;4110;
Nederland;L528;;KEN;2649;
Nederland;L528;;Democratisch Actie Centrum;2150;
Nederland;L528;;Partij van de Belastingbetalers;201;
Nederland;L528;;Europese Conservatieve Unie;197;
Nederland;L528;;Lijst-JUSIA;91;
Nederland;L528;;Nederlandse Middenstands Partij;89;
Nederland;L528;;Lijst-Griek;67;
