RegioNaam;RegioCode;RegioUitslag;Partij;AantalStemmen;AantalZetels
Nederland;L528;AantalGeldigeStemmen;;8690837;
Nederland;L528;AantalOngeldigeStemmen;;47401;
Nederland;L528;Kiesgerechtigden;;10040121;
Nederland;L528;Opkomst;;8738238;
Nederland;L528;;CDA;2677259;48
Nederland;L528;;PvdA;2458452;44
Nederland;L528;;VVD;1505311;26
Nederland;L528;;D66;961121;17
Nederland;L528;;PSP;184422;3
Nederland;L528;;CPN;178292;3
Nederland;L528;;SGP;171324;3
Nederland;L528;;PPR;171042;3
Nederland;L528;;RPF;108364;2
Nederland;L528;;GPV;70878;1
Nederland;L528;;DS70;48568;
Nederland;L528;;Evangelische Volkspartij;45189;
Nederland;L528;;SP;30380;
Nederland;L528;;Rooms Katholieke Partij Nederland;20812;
Nederland;L528;;Rechtse Volkspartij;17371;
Nederland;L528;;CP;12242;
Nederland;L528;;NVU;10641;
Nederland;L528;;Leefbaar Nederland;8336;
Nederland;L528;;Samen Overleven of Sterven;3377;
Nederland;L528;;Realisten 81;2080;
Nederland;L528;;Internationale Kommunistenbond;1814;
Nederland;L528;;God Met Ons;918;
Nederland;L528;;Wereld Welzijns Bewustwording;891;
Nederland;L528;;Partij tot Likwidatie van Nederland;826;
Nederland;L528;;De Vrede Partij;464;
Nederland;L528;;Partij van Rijksgenoten;207;
Nederland;L528;;Kleine Partij;186;
Nederland;L528;;Nederlandse Evolutie Partij;70;
