RegioNaam;RegioCode;RegioUitslag;Partij;AantalStemmen;AantalZetels
Nederland;L528;AantalBlancoStemmen;;39727;
Nederland;L528;AantalGeldigeStemmen;;8981556;
Nederland;L528;Kiesgerechtigden;;11455924;
Nederland;L528;Opkomst;;9021283;
Nederland;L528;;PvdA;2153135;37
Nederland;L528;;CDA;1996418;34
Nederland;L528;;VVD;1792401;31
Nederland;L528;;D66;1391202;24
Nederland;L528;;AOV;326401;6
Nederland;L528;;GL;311399;5
Nederland;L528;;CD;220734;3
Nederland;L528;;RPF;158705;3
Nederland;L528;;SGP;155251;2
Nederland;L528;;GPV;119158;2
Nederland;L528;;SP;118768;2
Nederland;L528;;Unie55+;78147;1
Nederland;L528;;CP86;32327;
Nederland;L528;;Natuurwetpartij;27665;
Nederland;L528;;Vrije Indische Partij;17230;
Nederland;L528;;De Groenen;13902;
Nederland;L528;;Nieuwe Communistische Partij;11630;
Nederland;L528;;Solidariteit Boerenpartij;9096;
Nederland;L528;;Partij voor Milieu en Recht;8716;
Nederland;L528;;Solidair '93;7919;
Nederland;L528;;PSP'92;7385;
Nederland;L528;;De Nieuwe Partij;6825;
Nederland;L528;;Algemeen Democratische Partij;5196;
Nederland;L528;;Patriottisch Democratisch Appèl;4845;
Nederland;L528;;Socialistische Arbeiderspartij;4347;
Nederland;L528;;Libertarische Partij;2754;
